time_to_reversion,current_balance
-24,0.0
-23,0.0
-22,0.0
-21,0.0
-20,0.0
-19,0.6263394415609699
-18,0.3407553983451203
-17,0.0
-16,0.0
-15,0.28669204692404526
-14,0.720632184174036
-13,0.0
-12,0.0
-11,0.6339129590245375
-10,0.2559029234760489
-9,0.0
-8,0.0
-7,0.46659125849854466
-6,0.0
-5,0.0
-4,0.0
-3,0.2349885518472456
-2,0.0
-1,0.0
0,0.7736037117676324
1,0.7928648173750491
2,0.7534907623525233
3,0.5780185284421352
4,0.0
5,0.0
6,0.8066793971450573
7,0.2593191920065123
8,0.30560522602502227
9,0.0
10,0.0
11,0.0
12,0.5601332155307452
13,0.0
14,0.0
15,0.0
16,0.0
17,0.8583265555615265
18,0.0
19,0.0
20,0.0
21,0.0
22,0.777749262369643
23,0.0
24,0.0
25,0.3863628627768751
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,1.5906706372982056
34,0.0
35,1.829054863356848
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,3.4618577116159686
42,0.0
43,5.4059435708248005
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,9.276272513703994
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,7.885597919962181
57,0.0
58,0.0
59,0.0
